adjustment_id,claim_id,adjustment_date,adjustment_reason,original_amount,adjusted_amount,adjustment_status
AD0000001,CL0000001,2026-02-10,Settlement revision,24679.96,22301.43,Rejected
AD0000002,CL0000020,2025-08-14,Settlement revision,25830.47,27943.49,Approved
AD0000003,CL0000034,2025-12-21,Fraud review,14514.66,13298.02,Pending
AD0000004,CL0000044,2025-07-14,Reopened claim,4065.19,4899.54,Approved
AD0000005,CL0000045,2023-07-25,Repair estimate update,16574.08,14356.01,Rejected
AD0000006,CL0000051,2025-09-17,Settlement revision,10047.46,11447.52,Pending
AD0000007,CL0000055,2024-04-16,Settlement revision,14914.05,17527.19,Pending
AD0000008,CL0000056,2023-09-18,Medical bill correction,13874.48,15759.41,Approved
AD0000009,CL0000062,2024-09-23,Repair estimate update,6918.12,6313.66,Rejected
AD0000010,CL0000071,2024-12-05,Fraud review,77389.03,99148.51,Rejected
AD0000011,CL0000074,2025-05-09,Fraud review,24625.53,27177.17,Pending
AD0000012,CL0000084,2025-02-09,Repair estimate update,48741.23,60059.12,Approved
AD0000013,CL0000086,2023-07-09,Repair estimate update,7545.2,7494.66,Approved
AD0000014,CL0000087,2024-07-12,Repair estimate update,6864.58,8145.56,Rejected
AD0000015,CL0000095,2025-05-10,Additional documentation,4859.79,5939.97,Pending
AD0000016,CL0000103,2023-12-23,Coverage review,12455.7,11410.08,Rejected
AD0000017,CL0000104,2023-11-09,Coverage review,19282.63,21117.79,Rejected
AD0000018,CL0000107,2023-08-06,Settlement revision,22379.49,21784.09,Approved
AD0000019,CL0000113,2024-07-03,Coverage review,18460.19,23403.94,Rejected
AD0000020,CL0000116,2025-06-04,Settlement revision,6012.85,6563.28,Rejected
AD0000021,CL0000119,2024-09-02,Additional documentation,6615.96,6490.63,Rejected
AD0000022,CL0000140,2025-09-18,Coverage review,8792.2,9577.24,Rejected
AD0000023,CL0000141,2025-04-26,Coverage review,1976.62,2539.5,Rejected
AD0000024,CL0000143,2025-05-02,Coverage review,7635.9,7656.13,Pending
AD0000025,CL0000149,2025-12-19,Settlement revision,118030.31,105451.98,Approved
AD0000026,CL0000152,2025-09-26,Settlement revision,17985.62,17731.44,Pending
AD0000027,CL0000154,2023-12-20,Reopened claim,11929.35,10836.48,Approved
AD0000028,CL0000157,2025-05-22,Additional documentation,3968.67,4468.76,Pending
AD0000029,CL0000164,2025-09-07,Repair estimate update,15938.17,19379.72,Rejected
AD0000030,CL0000165,2025-09-15,Settlement revision,3626.49,4439.44,Pending
AD0000031,CL0000168,2025-10-09,Additional documentation,6385.59,5673.74,Pending
AD0000032,CL0000177,2024-03-14,Repair estimate update,27080.07,24631.95,Approved
AD0000033,CL0000181,2024-07-31,Medical bill correction,3425.49,4173.38,Rejected
AD0000034,CL0000182,2024-01-14,Additional documentation,13190.72,14829.19,Approved
AD0000035,CL0000196,2025-06-25,Fraud review,9296.63,9928.68,Rejected
AD0000036,CL0000202,2025-09-06,Settlement revision,78552.31,69519.52,Rejected
AD0000037,CL0000205,2024-05-12,Reopened claim,9824.61,9179.36,Rejected
AD0000038,CL0000206,2025-08-20,Coverage review,26861.96,26993.69,Approved
AD0000039,CL0000208,2025-06-27,Fraud review,12689.59,11068.53,Approved
AD0000040,CL0000210,2024-07-24,Reopened claim,5901.12,7611.74,Approved
AD0000041,CL0000213,2024-06-29,Additional documentation,36789.47,37815.75,Approved
AD0000042,CL0000226,2023-04-13,Reopened claim,26840.88,22976.82,Approved
AD0000043,CL0000245,2024-01-25,Medical bill correction,8524.58,10856.98,Pending
AD0000044,CL0000266,2024-01-30,Reopened claim,8212.96,9078.82,Approved
AD0000045,CL0000279,2024-12-28,Coverage review,11336.27,10140.1,Pending
AD0000046,CL0000282,2023-08-31,Coverage review,23030.87,28526.91,Pending
AD0000047,CL0000287,2025-01-08,Medical bill correction,75012.99,73413.57,Rejected
AD0000048,CL0000290,2025-11-10,Reopened claim,55207.06,67739.5,Rejected
AD0000049,CL0000300,2024-05-16,Settlement revision,13887.3,13478.22,Rejected
AD0000050,CL0000304,2025-11-12,Coverage review,6095.01,6235.9,Approved
AD0000051,CL0000307,2023-08-28,Additional documentation,32720.06,28058.96,Pending
AD0000052,CL0000312,2023-05-07,Fraud review,7783.06,8779.32,Rejected
AD0000053,CL0000316,2026-02-18,Reopened claim,5785.83,5485.82,Rejected
AD0000054,CL0000327,2025-12-05,Coverage review,5588.93,6288.82,Approved
AD0000055,CL0000331,2025-02-20,Repair estimate update,11000.64,12667.08,Pending
AD0000056,CL0000333,2024-12-27,Coverage review,18279.64,19828.94,Approved
AD0000057,CL0000336,2025-12-08,Reopened claim,14766.43,18636.42,Approved
AD0000058,CL0000341,2025-04-17,Reopened claim,12606.57,15760.81,Pending
AD0000059,CL0000347,2025-04-18,Coverage review,4348.14,4720.77,Approved
AD0000060,CL0000348,2023-08-04,Reopened claim,34384.25,40601.03,Approved
AD0000061,CL0000349,2024-01-23,Settlement revision,18697.8,17576.84,Pending
AD0000062,CL0000356,2024-05-11,Settlement revision,3946.34,3416.63,Rejected
AD0000063,CL0000359,2025-09-03,Medical bill correction,40233.26,37356.44,Rejected
AD0000064,CL0000361,2024-09-25,Additional documentation,23041.11,23402.1,Approved
AD0000065,CL0000363,2025-06-23,Additional documentation,11643.52,14709.74,Approved
AD0000066,CL0000368,2024-11-27,Reopened claim,13774.08,11752.76,Rejected
AD0000067,CL0000371,2025-04-05,Repair estimate update,15108.63,14706.94,Approved
AD0000068,CL0000372,2025-04-12,Reopened claim,32102.92,36935.04,Rejected
AD0000069,CL0000383,2023-10-06,Fraud review,17687.92,22670.53,Pending
AD0000070,CL0000384,2023-08-13,Coverage review,38993.39,36549.11,Approved
AD0000071,CL0000399,2024-09-11,Repair estimate update,25679.4,25206.63,Rejected
AD0000072,CL0000404,2025-01-26,Coverage review,27480.63,33740.88,Rejected
AD0000073,CL0000409,2025-12-19,Coverage review,49237.27,54402.82,Pending
AD0000074,CL0000411,2024-03-14,Settlement revision,19957.46,19494.18,Pending
AD0000075,CL0000412,2025-10-01,Coverage review,72300.14,61594.15,Pending
AD0000076,CL0000415,2025-03-26,Reopened claim,5618.19,6244.96,Pending
AD0000077,CL0000418,2025-09-02,Additional documentation,60374.37,71057.38,Pending
AD0000078,CL0000423,2025-12-03,Reopened claim,16329.74,15380.22,Approved
AD0000079,CL0000427,2025-02-08,Medical bill correction,3826.21,3687.62,Approved
AD0000080,CL0000428,2024-02-21,Fraud review,12721.67,12942.59,Rejected
AD0000081,CL0000447,2025-07-27,Coverage review,12804.24,12558.98,Pending
AD0000082,CL0000451,2025-09-27,Additional documentation,30045.26,28651.83,Pending
AD0000083,CL0000457,2025-07-18,Fraud review,7586.86,8075.48,Rejected
AD0000084,CL0000465,2025-09-04,Repair estimate update,4570.74,4809.78,Pending
AD0000085,CL0000470,2024-10-28,Coverage review,52028.31,57300.2,Pending
AD0000086,CL0000482,2024-03-10,Settlement revision,12512.65,14151.97,Rejected
AD0000087,CL0000484,2024-07-04,Additional documentation,4165.79,5302.23,Pending
AD0000088,CL0000488,2024-07-13,Medical bill correction,2906.21,3007.04,Pending
AD0000089,CL0000492,2025-02-04,Settlement revision,9925.89,11423.23,Approved
AD0000090,CL0000501,2024-10-25,Settlement revision,4788.37,4108.03,Pending
AD0000091,CL0000507,2024-06-07,Medical bill correction,28469.36,27568.76,Pending
AD0000092,CL0000518,2024-11-05,Fraud review,25787.43,32982.3,Approved
AD0000093,CL0000527,2024-07-31,Repair estimate update,7406.55,7077.72,Pending
AD0000094,CL0000528,2025-02-26,Additional documentation,7653.09,7233.9,Rejected
AD0000095,CL0000536,2024-09-03,Fraud review,6884.82,8348.37,Rejected
AD0000096,CL0000542,2024-04-02,Coverage review,15496.37,14801.85,Rejected
AD0000097,CL0000544,2024-01-10,Repair estimate update,4092.47,3566.68,Pending
AD0000098,CL0000548,2025-08-05,Additional documentation,73146.64,66467.07,Approved
AD0000099,CL0000549,2024-08-16,Additional documentation,24206.43,24050.31,Pending
AD0000100,CL0000551,2025-02-26,Medical bill correction,6653.17,8489.13,Approved
AD0000101,CL0000561,2023-12-31,Medical bill correction,48554.78,54335.97,Approved
AD0000102,CL0000572,2023-12-08,Fraud review,34088.04,39557.39,Pending
AD0000103,CL0000576,2023-08-30,Medical bill correction,13509.19,15729.26,Approved
AD0000104,CL0000581,2025-06-23,Additional documentation,14661.04,17438.8,Approved
AD0000105,CL0000584,2024-08-13,Additional documentation,16890.49,18459.26,Rejected
AD0000106,CL0000588,2024-07-06,Reopened claim,53655.92,60166.34,Pending
AD0000107,CL0000592,2024-09-21,Repair estimate update,8065.02,9581.95,Pending
AD0000108,CL0000599,2025-12-24,Fraud review,30704.66,37625.16,Pending
AD0000109,CL0000601,2025-01-11,Fraud review,9990.65,11964.11,Approved
AD0000110,CL0000604,2024-02-19,Medical bill correction,60074.2,51650.32,Approved
AD0000111,CL0000621,2024-04-17,Additional documentation,44740.23,46702.49,Approved
AD0000112,CL0000633,2024-07-22,Repair estimate update,5695.78,4975.8,Rejected
AD0000113,CL0000637,2023-09-11,Additional documentation,13874.48,17336.03,Approved
